timestamp,machine_id,statut,temperature_C,pression_bar,vitesse_rpm,conso_energie_kWh,nb_cycles
2026-01-01 06:00:00,Four_D,MAINTENANCE,60.2,4.96,0.0,3.22,0
2026-01-01 06:05:00,Robot_C,MARCHE,53.1,3.76,1138.0,2.92,23
2026-01-01 06:10:00,Four_D,ALARME,56.3,4.93,0.0,0.45,0
2026-01-01 06:15:00,Pompe_E,MARCHE,61.5,3.44,1136.0,2.61,15
2026-01-01 06:20:00,Robot_C,MARCHE,54.8,4.38,1263.0,4.5,8
2026-01-01 06:25:00,Presse_B,ALARME,,4.05,0.0,0.24,0
2026-01-01 06:30:00,Four_D,MARCHE,69.8,4.61,1017.0,3.75,41
2026-01-01 06:35:00,Four_D,MARCHE,39.3,4.57,1226.0,3.36,15
2026-01-01 06:40:00,Pompe_E,MARCHE,52.6,3.97,1359.0,3.91,40
2026-01-01 06:45:00,Pompe_E,ARRET,40.9,3.86,0.0,0.36,0
2026-01-01 06:50:00,Robot_C,MARCHE,62.4,4.54,1305.0,3.71,40
2026-01-01 06:55:00,Four_D,ARRET,42.9,4.75,0.0,0.28,0
2026-01-01 07:00:00,Pompe_E,MARCHE,51.7,4.62,1244.0,2.25,13
2026-01-01 07:05:00,Robot_C,ARRET,,4.95,0.0,0.33,0
2026-01-01 07:10:00,Robot_C,MARCHE,51.8,4.17,987.0,4.75,31
2026-01-01 07:15:00,Four_D,ALARME,50.7,3.45,0.0,0.22,0
2026-01-01 07:20:00,Robot_C,MARCHE,60.9,4.35,1334.0,2.77,27
2026-01-01 07:25:00,Four_D,MARCHE,52.5,4.68,1169.0,2.57,24
2026-01-01 07:30:00,Convoyeur_A,MARCHE,52.1,3.53,1047.0,3.65,36
2026-01-01 07:35:00,Convoyeur_A,MARCHE,45.0,4.43,1175.0,3.76,40
2026-01-01 07:40:00,Four_D,MARCHE,38.8,4.19,949.0,2.21,16
2026-01-01 07:45:00,Robot_C,MARCHE,47.1,3.87,1201.0,4.07,18
2026-01-01 07:50:00,Presse_B,MARCHE,52.9,5.18,909.0,2.58,16
2026-01-01 07:55:00,Pompe_E,MARCHE,56.3,4.49,1529.0,2.31,28
2026-01-01 08:00:00,Robot_C,MARCHE,50.5,3.42,1210.0,2.23,32
2026-01-01 08:05:00,Presse_B,ARRET,58.8,4.78,0.0,0.39,0
2026-01-01 08:10:00,Presse_B,ALARME,52.1,4.48,0.0,0.4,0
2026-01-01 08:15:00,Convoyeur_A,MARCHE,59.2,4.23,1275.0,3.32,40
2026-01-01 08:20:00,Robot_C,MARCHE,56.4,4.25,1216.0,4.6,10
2026-01-01 08:25:00,Convoyeur_A,MARCHE,53.2,4.31,1327.0,3.71,34
2026-01-01 08:30:00,Pompe_E,MARCHE,45.3,3.71,1318.0,4.89,7
2026-01-01 08:35:00,Robot_C,MARCHE,48.4,3.77,1222.0,1.86,45
2026-01-01 08:40:00,Pompe_E,MARCHE,48.8,4.13,1331.0,5.06,46
2026-01-01 08:45:00,Convoyeur_A,MARCHE,44.3,3.72,1347.0,3.55,16
2026-01-01 08:50:00,Four_D,ALARME,53.9,4.14,0.0,0.37,0
2026-01-01 08:55:00,Pompe_E,MARCHE,47.4,3.9,1183.0,1.4,17
2026-01-01 09:00:00,Convoyeur_A,MARCHE,45.8,4.89,1072.0,2.27,25
2026-01-01 09:05:00,Convoyeur_A,ARRET,58.3,3.84,0.0,0.12,0
2026-01-01 09:10:00,Presse_B,ARRET,58.7,4.46,0.0,0.69,0
2026-01-01 09:15:00,Pompe_E,MARCHE,53.7,3.86,1210.0,3.01,31
2026-01-01 09:20:00,Robot_C,MARCHE,,4.38,1138.0,3.6,41
2026-01-01 09:25:00,Robot_C,MARCHE,67.5,4.26,1282.0,1.97,3
2026-01-01 09:30:00,Pompe_E,MARCHE,68.3,3.83,1184.0,2.92,18
2026-01-01 09:35:00,Four_D,MARCHE,49.1,3.91,1180.0,2.55,11
2026-01-01 09:40:00,Pompe_E,MARCHE,54.1,4.62,1152.0,3.25,24
2026-01-01 09:45:00,Pompe_E,MARCHE,72.0,4.72,972.0,2.92,15
2026-01-01 09:50:00,Robot_C,ARRET,58.6,4.59,0.0,0.21,0
2026-01-01 09:55:00,Pompe_E,MARCHE,54.5,4.07,1013.0,5.46,4
2026-01-01 10:00:00,Four_D,MARCHE,43.6,4.92,985.0,4.9,4
2026-01-01 10:05:00,Pompe_E,MARCHE,,4.3,1110.0,3.58,26
2026-01-01 10:10:00,Four_D,MARCHE,51.9,4.99,1014.0,6.06,36
2026-01-01 10:15:00,Four_D,MARCHE,39.4,4.34,1107.0,3.25,25
2026-01-01 10:20:00,Presse_B,MARCHE,51.1,3.91,1327.0,3.93,44
2026-01-01 10:25:00,Robot_C,ALARME,49.5,4.61,0.0,0.36,0
2026-01-01 10:30:00,Convoyeur_A,MARCHE,68.4,3.26,1442.0,4.13,35
2026-01-01 10:35:00,Presse_B,MARCHE,63.3,4.31,970.0,3.94,12
2026-01-01 10:40:00,Convoyeur_A,MARCHE,60.1,3.07,832.0,3.41,12
2026-01-01 10:45:00,Robot_C,MARCHE,51.7,4.69,1216.0,3.82,18
2026-01-01 10:50:00,Presse_B,MARCHE,40.7,3.98,1381.0,2.06,35
2026-01-01 10:55:00,Pompe_E,ARRET,49.4,4.2,0.0,0.09,0
2026-01-01 11:00:00,Pompe_E,MARCHE,69.2,4.51,1404.0,2.98,49
2026-01-01 11:05:00,Robot_C,MARCHE,56.6,4.78,1128.0,2.7,30
2026-01-01 11:10:00,Robot_C,ARRET,65.9,3.18,0.0,0.46,0
2026-01-01 11:15:00,Presse_B,MARCHE,42.3,3.99,1417.0,1.2,19
2026-01-01 11:20:00,Four_D,ARRET,59.4,4.57,0.0,0.19,0
2026-01-01 11:25:00,Convoyeur_A,MARCHE,61.1,4.55,1140.0,3.77,36
2026-01-01 11:30:00,Four_D,MARCHE,55.1,4.21,1275.0,5.24,30
2026-01-01 11:35:00,Convoyeur_A,MARCHE,62.7,4.64,1228.0,6.13,7
2026-01-01 11:40:00,Presse_B,MARCHE,48.5,3.14,1121.0,2.59,40
2026-01-01 11:45:00,Four_D,MAINTENANCE,56.2,4.37,0.0,5.75,0
2026-01-01 11:50:00,Convoyeur_A,MARCHE,42.9,4.54,1182.0,4.28,4
2026-01-01 11:55:00,Convoyeur_A,MARCHE,64.4,3.97,943.0,5.12,21
2026-01-01 12:00:00,Robot_C,ARRET,54.1,4.82,0.0,0.14,0
