machine_id,statut,temperature_C,pression_bar,vitesse_rpm,conso_energie_kWh,nb_cycles,alerte_temp,hors_norme,temp_F,conso_par_cycle
Four_D,MAINTENANCE,60.2,4.96,0.0,3.22,0,False,False,140.36,
Robot_C,MARCHE,53.1,3.76,1138.0,2.92,23,False,False,127.58000000000001,0.12695652173913044
Four_D,ALARME,56.3,4.93,0.0,0.45,0,False,False,133.34,
Pompe_E,MARCHE,61.5,3.44,1136.0,2.61,15,False,False,142.7,0.174
Robot_C,MARCHE,54.8,4.38,1263.0,4.5,8,False,False,130.64,0.5625
Presse_B,ALARME,,4.05,0.0,0.24,0,False,False,,
Four_D,MARCHE,69.8,4.61,1017.0,3.75,41,True,False,157.64,0.09146341463414634
Four_D,MARCHE,39.3,4.57,1226.0,3.36,15,False,False,102.74,0.224
Pompe_E,MARCHE,52.6,3.97,1359.0,3.91,40,False,False,126.68,0.09775
Pompe_E,ARRET,40.9,3.86,0.0,0.36,0,False,False,105.61999999999999,
Robot_C,MARCHE,62.4,4.54,1305.0,3.71,40,False,False,144.32,0.09275
Four_D,ARRET,42.9,4.75,0.0,0.28,0,False,False,109.22,
Pompe_E,MARCHE,51.7,4.62,1244.0,2.25,13,False,False,125.06,0.17307692307692307
Robot_C,ARRET,,4.95,0.0,0.33,0,False,False,,
Robot_C,MARCHE,51.8,4.17,987.0,4.75,31,False,False,125.24,0.1532258064516129
Four_D,ALARME,50.7,3.45,0.0,0.22,0,False,False,123.26,
Robot_C,MARCHE,60.9,4.35,1334.0,2.77,27,False,False,141.62,0.1025925925925926
Four_D,MARCHE,52.5,4.68,1169.0,2.57,24,False,False,126.5,0.10708333333333332
Convoyeur_A,MARCHE,52.1,3.53,1047.0,3.65,36,False,False,125.78,0.10138888888888889
Convoyeur_A,MARCHE,45.0,4.43,1175.0,3.76,40,False,False,113.0,0.094
Four_D,MARCHE,38.8,4.19,949.0,2.21,16,False,False,101.84,0.138125
Robot_C,MARCHE,47.1,3.87,1201.0,4.07,18,False,False,116.78,0.22611111111111112
Presse_B,MARCHE,52.9,5.18,909.0,2.58,16,False,True,127.22,0.16125
Pompe_E,MARCHE,56.3,4.49,1529.0,2.31,28,False,False,133.34,0.0825
Robot_C,MARCHE,50.5,3.42,1210.0,2.23,32,False,False,122.9,0.0696875
Presse_B,ARRET,58.8,4.78,0.0,0.39,0,False,False,137.83999999999997,
Presse_B,ALARME,52.1,4.48,0.0,0.4,0,False,False,125.78,
Convoyeur_A,MARCHE,59.2,4.23,1275.0,3.32,40,False,False,138.56,0.08299999999999999
Robot_C,MARCHE,56.4,4.25,1216.0,4.6,10,False,False,133.51999999999998,0.45999999999999996
Convoyeur_A,MARCHE,53.2,4.31,1327.0,3.71,34,False,False,127.76,0.10911764705882353
Pompe_E,MARCHE,45.3,3.71,1318.0,4.89,7,False,False,113.53999999999999,0.6985714285714285
Robot_C,MARCHE,48.4,3.77,1222.0,1.86,45,False,False,119.11999999999999,0.04133333333333333
Pompe_E,MARCHE,48.8,4.13,1331.0,5.06,46,False,False,119.84,0.10999999999999999
Convoyeur_A,MARCHE,44.3,3.72,1347.0,3.55,16,False,False,111.74,0.221875
Four_D,ALARME,53.9,4.14,0.0,0.37,0,False,False,129.01999999999998,
Pompe_E,MARCHE,47.4,3.9,1183.0,1.4,17,False,False,117.32,0.08235294117647059
Convoyeur_A,MARCHE,45.8,4.89,1072.0,2.27,25,False,False,114.44,0.0908
Convoyeur_A,ARRET,58.3,3.84,0.0,0.12,0,False,False,136.94,
Presse_B,ARRET,58.7,4.46,0.0,0.69,0,False,False,137.66000000000003,
Pompe_E,MARCHE,53.7,3.86,1210.0,3.01,31,False,False,128.66,0.09709677419354838
Robot_C,MARCHE,,4.38,1138.0,3.6,41,False,False,,0.0878048780487805
Robot_C,MARCHE,67.5,4.26,1282.0,1.97,3,True,False,153.5,0.6566666666666666
Pompe_E,MARCHE,68.3,3.83,1184.0,2.92,18,True,False,154.94,0.1622222222222222
Four_D,MARCHE,49.1,3.91,1180.0,2.55,11,False,False,120.38000000000001,0.2318181818181818
Pompe_E,MARCHE,54.1,4.62,1152.0,3.25,24,False,False,129.38,0.13541666666666666
Pompe_E,MARCHE,72.0,4.72,972.0,2.92,15,True,False,161.6,0.19466666666666665
Robot_C,ARRET,58.6,4.59,0.0,0.21,0,False,False,137.48,
Pompe_E,MARCHE,54.5,4.07,1013.0,5.46,4,False,False,130.1,1.365
Four_D,MARCHE,43.6,4.92,985.0,4.9,4,False,False,110.48,1.225
Pompe_E,MARCHE,,4.3,1110.0,3.58,26,False,False,,0.1376923076923077
Four_D,MARCHE,51.9,4.99,1014.0,6.06,36,False,False,125.41999999999999,0.16833333333333333
Four_D,MARCHE,39.4,4.34,1107.0,3.25,25,False,False,102.91999999999999,0.13
Presse_B,MARCHE,51.1,3.91,1327.0,3.93,44,False,False,123.98,0.08931818181818182
Robot_C,ALARME,49.5,4.61,0.0,0.36,0,False,False,121.1,
Convoyeur_A,MARCHE,68.4,3.26,1442.0,4.13,35,True,False,155.12,0.118
Presse_B,MARCHE,63.3,4.31,970.0,3.94,12,False,False,145.94,0.3283333333333333
Convoyeur_A,MARCHE,60.1,3.07,832.0,3.41,12,False,False,140.18,0.2841666666666667
Robot_C,MARCHE,51.7,4.69,1216.0,3.82,18,False,False,125.06,0.2122222222222222
Presse_B,MARCHE,40.7,3.98,1381.0,2.06,35,False,False,105.26,0.05885714285714286
Pompe_E,ARRET,49.4,4.2,0.0,0.09,0,False,False,120.91999999999999,
Pompe_E,MARCHE,69.2,4.51,1404.0,2.98,49,True,False,156.56,0.060816326530612246
Robot_C,MARCHE,56.6,4.78,1128.0,2.7,30,False,False,133.88,0.09000000000000001
Robot_C,ARRET,65.9,3.18,0.0,0.46,0,True,False,150.62,
Presse_B,MARCHE,42.3,3.99,1417.0,1.2,19,False,False,108.14,0.06315789473684211
Four_D,ARRET,59.4,4.57,0.0,0.19,0,False,False,138.92000000000002,
Convoyeur_A,MARCHE,61.1,4.55,1140.0,3.77,36,False,False,141.98,0.10472222222222222
